('1781126701', '散发妖气的小猫咪', 'm', '292', '10759'), 
('2978200610', 'YYKing', 'f', '259', '10624'), 
('1920484443', '丽莎TEACHER', 'f', '597', '10526'), 
('1303917541', '高端首饰品牌定制', 'f', '753', '10507'), 
('1825359657', '潇洒哥的温柔媳妇儿', 'f', '633', '10502'), 
('2995759194', '呛口小辣椒折扣团', 'f', '198', '10510'), 
('2424353423', '刘芮含miumiu', 'f', '276', '10502'), 
('2579542977', '猴乐儿澳洲购', 'f', '761', '10429'), 
('2797364474', '小呀么小百合_Sayuri', 'f', '439', '10425'), 
('1711526690', 'Ms-璐', 'f', '884', '10399'), 
('3887876081', 'shirleyli888', 'f', '2498', '10366'), 
('3632402800', 'Dream品定制', 'f', '209', '10351'), 
('2750324033', '二月核桃', 'f', '338', '10352'), 
('2628540340', '这么长的名字我不信你还能看得到', 'f', '1465', '10305'), 
('2817814693', '懒妈原创', 'f', '1778', '10356'), 
('3905341240', '羽芯家纺免费加盟', 'm', '1610', '10285'), 
('3030866945', '天夏儿summerfay', 'f', '156', '10284'), 
('5294871251', '美美家小清新全国三级授权代理', 'f', '1349', '10322'), 
('5086173901', 'baby姐妹淘', 'm', '135', '10220'), 
('3868797371', '奢侈品牌丝巾复刻', 'f', '71', '10220'), 
('2365242262', 'QAQ好无趣', 'f', '276', '10182'), 
('2462367181', 'kathy-yx', 'f', '600', '10182'), 
('3710904103', '自拍神器闲置转让平台', 'f', '349', '10271'), 
('1834062440', '北极维尼lucine', 'f', '327', '10096'), 
('3030970201', 'TB艾尚贵族', 'f', '241', '10182'), 
('2237874144', '林雪穗', 'f', '231', '10053'), 
('2829131701', 'FeeHouse', 'f', '1753', '10138'), 
('2185523993', '苏珂面膜江苏总代理', 'f', '149', '9942'), 
('1919527434', '少女帮', 'f', '255', '9836'), 
('1645578410', 'Wh8710', 'f', '742', '9683'), 
('1823739850', '大vi--薇薇薇薇薇', 'f', '716', '9632'), 
('1904408637', '-陆小楠-', 'f', '395', '9574'), 
('1949409131', '马马IPS细胞液', 'f', '307', '9555'), 
('2882036964', '请不要叫我羊肉串', 'f', '1105', '5152'), 
('2261933223', 'GoodMorning代购一枚', 'f', '500', '9474'), 
('1973886605', '恩一摄影', 'f', '1962', '9461'), 
('3176956652', '柚子妈妈海淘转闲置', 'f', '1627', '9416'), 
('1864297427', '爱爱爱乖不乖', 'f', '505', '9401'), 
('2147203373', 'Michelle-xp', 'f', '1048', '9525'), 
('3206234235', '新迪恩视觉', 'm', '1434', '9386'), 
('1838809751', 'Miss_juan', 'f', '711', '9362'), 
('3084329157', 'crazy珠宝', 'f', '2150', '9352'), 
('1793202653', '七爷家', 'f', '427', '9437'), 
('1412635514', '金紫亦', 'f', '531', '9529'), 
('2656886721', '要美丽更要美食', 'f', '1820', '9274'), 
('1597659342', '左岸往左', 'f', '853', '9257'), 
('1783215031', '徐1要独立', 'f', '719', '9213'), 
('2267160637', '半永久化妆眉李韵伊', 'f', '705', '9146'), 
('2120989813', 'CC_baoma', 'f', '700', '9108'), 
('1648597252', '交通1003鄢语', 'f', '598', '9052'), 
('5041708216', 'AiJO定制', 'f', '414', '9067'), 
('1300017611', 'Christine张建', 'f', '1463', '8917'), 
('3721221170', '有小梦想的车厘子', 'f', '927', '8984'), 
('3330855190', 'Yvonne美妆_样yang', 'f', '699', '8823'), 
('2614105264', '青争女古女良', 'f', '499', '8904'), 
('2409501081', '乐LOVE茉莉稥', 'f', '562', '8797'), 
('1745315305', '小圈美国代购', 'f', '800', '8728'), 
('2571931940', 'JiaNi-Xv', 'f', '278', '8698'), 
('1285035635', '闻小雯', 'f', '206', '8684'), 
('2702882915', 'Mm麻小敏', 'f', '681', '8617'), 
('1880789187', '小奶包美衣定制', 'f', '758', '8645'), 
('1248229624', '招牌动作TT', 'f', '285', '8515'), 
('2065237161', 'summer_Misslee', 'f', '780', '8349'), 
('2447818995', 'Alter-J', 'f', '85', '8374'), 
('3216417193', '宋撇s败家小胖儿', 'f', '344', '8326'), 
('3057997337', '汤勺儿Yiki', 'f', '192', '8280'), 
('1259373623', '玫瑰的玫angel', 'f', '504', '8190'), 
('1598430032', 'KazamaYuki', 'f', '528', '8194'), 
('2090860825', '寵愛____', 'f', '543', '8174'), 
('1788725713', '樊_尕珊', 'f', '613', '8155'), 
('1606389533', '叫我小狐仙', 'f', '693', '8172'), 
('3046471827', '小百合团', 'f', '2281', '8125'), 
('3929486751', '省钱-团', 'f', '685', '7655'), 
('1842751745', '奢雅名品', 'f', '511', '8054'), 
('3423052394', '花姑娘女鞋定制', 'f', '402', '8039'), 
('2738455890', 'Zerlina-77酱英国代购', 'f', '359', '7851'), 
('5057593633', '兔爷高端定制', 'm', '408', '8094'), 
('1725224434', '小福子寳一枚', 'f', '411', '7776'), 
('2632171391', 'Xy_Mami', 'f', '1075', '7702'), 
('1784837701', 'CCCyndy', 'f', '428', '7683'), 
('2395606753', 'Lynnlynnw_', 'f', '607', '7642'), 
('2770914843', 'sakura丶菲菲', 'f', '494', '7651'), 
('1916080345', '阿梦梦sym', 'f', '444', '7511'), 
('1845565923', 'Ayomiyyyy', 'f', '574', '7560'), 
('2481982510', 'YAOYIXIN', 'f', '432', '7562'), 
('1141239484', 'super姚姚酱', 'f', '326', '7445'), 
('2074964852', '进击的少年筱寒港美代', 'f', '292', '7436'), 
('1624712197', '肉肉斯', 'f', '719', '7257'), 
('1700710911', '西瓜先生的嘎嘎', 'f', '489', '7209'), 
('2237945497', '蜜丝梦爷', 'f', '266', '7253'), 
('2326745087', '_娱乐至死', 'm', '525', '7198'), 
('1750014141', '甜姸藌语', 'f', '646', '7210'), 
('1854673135', '小yu滴滴嗒', 'f', '424', '7141'), 
('1610570472', 'Aeris_QiQi', 'f', '986', '7210'), 
('3280759093', '未小知知', 'f', '516', '7031'), 
('2211516625', 'luna时尚', 'f', '875', '6931'), 
('1821605120', '小月牙_Candy', 'f', '561', '6937'), 
('5079789237', 'DaisyBabee', 'f', '193', '7179'), 
('1890258115', '-Dudu晏', 'f', '259', '6884'), 
('2855708404', '小象elephant英国代购', 'f', '1106', '6848'), 
('2004113923', '猫小仙要幸福', 'f', '708', '6842'), 
('1951463362', '巴黎小小时尚买手zoe', 'f', '1979', '6801'), 
('1813688222', '一根毛线线', 'f', '232', '6773'), 
('2349166081', '沐小小小小小雪', 'f', '149', '6790'), 
('1609509647', '賴賴賴小涵', 'f', '1658', '6800'), 
('2111114022', 'Irma琪妹_', 'f', '837', '6793'), 
('1359891283', '微信daywith1906', 'm', '224', '6698'), 
('1920130997', 'EvenEven_', 'f', '787', '6637'), 
('1937413270', '大家叫我王丫丫', 'f', '1780', '6680'), 
('1907648345', '小疯子-Ting', 'f', '805', '6619'), 
('2557767924', 'Emmababy爱玛家童饰', 'f', '287', '6641'), 
('3904636879', '林林家格子铺', 'f', '285', '6568'), 
('2176838720', '小狮子滴妈咪--蓓感钦妾', 'f', '1814', '6492'), 
('3889521850', 'mumu要败家', 'f', '486', '6522'), 
('3905329133', 'SexyQueen-cici', 'f', '383', '6552'), 
('1780996340', 'tt12-28', 'f', '392', '6449'), 
('3599817552', '三胖面膜', 'f', '735', '6465'), 
('1758483221', '波波安Z', 'f', '444', '6429'), 
('2524026600', '朝宝直邮专柜正品美妆', 'f', '256', '6407'), 
('3326675084', '小牛珍妮', 'f', '1575', '6371'), 
('2260698763', 'wonder-girl鱼儿家', 'f', '955', '6526'), 
('1677692785', 'CD倍儿精致', 'f', '1378', '6320'), 
('3294412045', 'trida在美国', 'f', '253', '6346'), 
('3756715335', '七张桌子韩国餐厅', 'f', '2484', '6388'), 
('1764887103', 'Minkiooo撕拉式唇彩', 'f', '330', '6206'), 
('2036201503', '安小小小然儿', 'f', '241', '6153'), 
('1866796810', 'elaine求好运', 'f', '283', '6131'), 
('1688820952', '丽颜微整工作室', 'f', '490', '6094'), 
('2153231390', '花裤子蜗牛', 'f', '455', '6038'), 
('1812502407', '陆小姐旅途中', 'f', '630', '6037'), 
('2398926717', '不爱化妆的姑娘a瑾', 'f', '242', '5959'), 
('1798727481', 'tt_shop_tt', 'f', '824', '5958'), 
('3494510313', 'LNG独家订制工作室', 'f', '187', '6073'), 
('2785307534', '远儿yuan全职代购', 'f', '1379', '5900'), 
('3674740142', 'Yummy东大门代购', 'f', '720', '5884'), 
('2862037492', '弓少敏', 'f', '121', '5824'), 
('3561726462', 'cathy--sun', 'f', '1530', '5755'), 
('1953348247', '我是YAYAYA', 'f', '540', '5749'), 
('5064790832', '-彩虹团购', 'f', '424', '5781'), 
('2107926400', '超级无敌盖世霹雳想', 'f', '644', '5869'), 
('1920770205', '上品莲1', 'f', '545', '5657'), 
('1843012593', '快乐的小蕾萌', 'f', '169', '5623'), 
('1770314441', '男生女生朝小颜', 'f', '594', '5612'), 
('2872653813', '小您您_', 'f', '255', '5573'), 
('1709841281', 'Pisces逄露', 'f', '371', '5569'), 
('1870236803', '笨笨蛋H-H', 'f', '413', '5566'), 
('1773177045', '爱girl-珠宝定制', 'f', '490', '5630'), 
('1932198854', '冰冰冰吕', 'f', '395', '5544'), 
('2624430811', '小朴的精选铺', 'f', '231', '5525'), 
('2909980701', 'wv-世界环球旅行-雪凤凰', 'f', '1874', '5516'), 
('2235948660', '比想象中xx', 'f', '269', '5507'), 
('5026676743', '大胡子定制', 'f', '514', '5569'), 
('1661197250', 'stylenanda海外直邮', 'm', '164', '5455'), 
('1891934502', 'M_maxcava', 'f', '621', '5437'), 
('2049974745', 'lady门门', 'f', '1059', '5427'), 
('2523791570', 'Lu一路', 'f', '331', '5352'), 
('1670980061', 'paipai麻麻', 'f', '611', '5348'), 
('1277909742', '希瑞Rocha', 'f', '429', '5376'), 
('1864563852', 'TheShadowDream', 'f', '394', '5318'), 
('3543637901', '高奢品专卖', 'f', '376', '5303'), 
('2250528501', 'Queenie酱_', 'f', '429', '5237'), 
('1704212217', '二或酱', 'f', '306', '5246'), 
('1770459073', '小贝贝_要减肥', 'f', '541', '5243'), 
('3537096297', '---朱焱焱---', 'f', '745', '5235'), 
('3797380940', '哩露贰柒柒', 'f', '239', '5255'), 
('5260925093', 'A_Babee', 'f', '620', '5221'), 
('1353027170', '唐小婉', 'f', '694', '5220'), 
('3315830181', 'Chenshishi_', 'f', '633', '5198'), 
('1700312832', '陶子随性的活着', 'f', '562', '5175'), 
('3234040844', 'wacky_fox', 'f', '128', '5172'), 
('2096149574', 'Halo_小蔚兒', 'f', '388', '5161'), 
('1881687437', '槑槑的颖子织呀织', 'f', '311', '5123'), 
('1949539070', 'vera意大利代购', 'f', '446', '5094'), 
('1898827067', '-美美de笑笑-', 'f', '648', '5098'), 
('5177634270', '小号小号小号之秀', 'f', '132', '5104'), 
('1817367900', '村花lili', 'f', '687', '5091'), 
('1663202002', 'sexy时尚创意', 'm', '222', '5025'), 
('1751028140', '哈奇宝宝', 'f', '569', '5016'), 
('2905257517', '各大山家定金闲置真爱款求购', 'f', '232', '5116'), 
('1107892491', 'SP-DAY制作', 'f', '944', '5117'), 
('2098123831', 'Mihalik', 'f', '499', '4968'), 
('2150754474', '54陶小乐', 'f', '1212', '4944'), 
('3415996562', '小杂团', 'f', '325', '4986'), 
('1944118933', '白了个白白白白', 'f', '479', '4932'), 
('1747740442', 'miiiiiisia', 'f', '412', '4911'), 
('5020376949', '娃娃瀲灩825', 'f', '392', '4912'), 
('1934344570', '香猪圆滚滚', 'f', '617', '4877'), 
('1510431435', 'TAMMYHSU', 'f', '1094', '4846'), 
('1655087512', '亦若幻觉乖乖学雅思', 'f', '504', '4890'), 
('1746439620', 'hitomi芸', 'f', '643', '4825'), 
('3718878234', '喜顺哇', 'f', '528', '4772'), 
('2311764330', '豆豆布丁Q', 'f', '438', '4797'), 
('2534924733', 'Luck0322', 'f', '556', '4717'), 
('2198826063', '小思儿美瞳', 'f', '2971', '4675'), 
('1755377203', 'YiYi-TuTu', 'f', '1082', '4682'), 
('1517976243', '黄会武', 'm', '1993', '4646'), 
('1854286455', 'Yilia叮叮叮', 'f', '228', '4657'), 
('1823883134', '蜜葳特Melvita香港代购', 'f', '1332', '4593'), 
('1652935565', '宅妞团', 'f', '561', '4773'), 
('1868004957', '梁含桃er', 'f', '314', '4646'), 
('3031951075', '悠米彤是超级购物狂', 'm', '291', '4827'), 
('1770311081', '男生女生筱飞', 'f', '220', '4606'), 
('1924717673', '偏执狂不再爱', 'f', '451', '4584'), 
('5078177245', '欧宝OB高端定制', 'f', '348', '4765'), 
('3879514202', '安静的午夜思念在喧哗', 'f', '881', '4528'), 
('1935658255', 'A乔Mabc', 'f', '691', '4489'), 
('1945591951', 'Aiiime', 'f', '534', '4507'), 
('2687410111', '天缘丝坊--杨妞家的蚕丝坊', 'f', '1102', '4571'), 
('3216859975', 'STILE-IT意大利米兰时尚代购', 'f', '2769', '4645'), 
('3314119601', '唐艺璇-Shirley', 'f', '798', '4511'), 
('2881567762', '温柔旭日本代购', 'f', '500', '4480'), 
('2443576283', '刘伊诺tila', 'f', '179', '4687'), 
('1882957283', '达阪城的大板牙姑娘', 'f', '518', '4412'), 
('3558194843', '等瘦成一道闪电就娶小哥哥', 'f', '501', '4405'), 
('2321628070', '卖减肥药的辣妈', 'f', '294', '4388'), 
('1663910601', '周子墨', 'f', '325', '4395'), 
('2908643384', 'only玲妹妹', 'f', '1059', '4437'), 
('3558062107', 'ISLOVEIS奢品汇', 'f', '2072', '4342'), 
('2678447335', 'Y闹Y闹', 'f', '553', '4418'), 
('1437617543', 'Ivy邵', 'f', '763', '4317'), 
('5060452109', '教主DAZZLE和dzzit地素代购', 'f', '82', '4407'), 
('1654045673', 'real_变变变lvpia变超人', 'f', '473', '4364'), 
('2157918922', '乔馨Xin', 'f', '217', '4263'), 
('3300830341', '阳光姐妹淘-邓小宝', 'f', '873', '4266'), 
('1739745414', '蔡小康的娘', 'f', '545', '4213'), 
('1785520250', 'LH总代Laxka总代招一二三级代理', 'f', '373', '4251'), 
('1813267042', 'Lampsy_XG', 'f', '390', '4180'), 
('3053764901', 'Charlie酱酱', 'f', '1306', '4140'), 
('1892186713', '化妆师Nicole小凤', 'f', '558', '4178'), 
('3835068774', 'Zero-top定制', 'f', '256', '4139'), 
('2636617091', '徐丹丹还是徐半仙', 'f', '1176', '4136'), 
('2317352432', '大头菲菲115', 'f', '316', '4111'), 
('1670409333', '小蘑菇Lei', 'f', '441', '4109'), 
('1309713791', 'kopoli', 'f', '655', '4075'), 
('1728862934', 'Fairyrags-仙女座布偶猫舍', 'f', '942', '4034'), 
('3602719563', 'Amanda_奢侈小铺', 'f', '327', '4064'), 
('1764292630', 'Letty623', 'f', '856', '4150'), 
('1759397881', 'CJ-YEONHEE', 'f', '584', '4030'), 
('3848955074', '辣妈Cecilia', 'f', '594', '4088'), 
('1734109065', '小彬彬彬彬_bella', 'f', '712', '4023'), 
('1656987852', '婆婆_婆婆', 'f', '1700', '4005'), 
('1748070875', '庹庹-baby', 'f', '1164', '4004'), 
('2504922953', 'C--J哒哒哒', 'f', '331', '3994'), 
('2280056042', '叶赤子', 'f', '570', '3993'), 
('1908503773', '刘文君-wendy', 'f', '643', '3967'), 
('1279158275', '與子偕老Serena', 'f', '690', '3960'), 
('2993209891', '佳佳珠宝卡地亚VCA高端定制', 'f', '2525', '3969'), 
('1864187170', '芥末-SAMA', 'f', '672', '3953'), 
('1838220712', 'i美丽的公主', 'f', '597', '4036'), 
('2651362641', '李嫻Liv', 'f', '249', '3896'), 
('1843249937', '嘉宝酱', 'f', '355', '3900'), 
('3934124126', 'yoka定制', 'f', '485', '3928'), 
('1871708773', '觉珏决绝', 'f', '334', '3886'), 
('2364013842', '謝文雯__', 'f', '201', '3878'), 
('2535740584', '_____5682', 'f', '379', '3845'), 
('1762328013', '京剧演员王梦婷', 'f', '692', '3866'), 
('3163873111', 'LittleSmall張', 'f', '608', '3873'), 
('3503595405', 'liu_yao_', 'f', '1339', '3843'), 
('1774124733', '枕头控eee', 'f', '528', '3817'), 
('2633891491', '朵宝贝儿123', 'f', '253', '3831'), 
('1895151927', '焦糖独家洗护', 'f', '656', '3817'), 
('3775601022', 'BoBo_尊享阁', 'f', '1012', '3836'), 
('2370383234', 'Special_l0ve', 'f', '748', '3817'), 
('2961780767', '嘻嘻哈哈Vintage', 'f', '1264', '3794'), 
('3908213778', '不能继续变胖的铁人', 'f', '612', '3798'), 
('1738971082', '陆如意o', 'f', '132', '3775'), 
('3153597480', 'i_am_2xu', 'f', '912', '3776'), 
('2212075392', 'Lael-Roy-菲菲', 'f', '428', '3753'), 
('1731069282', '是你的张怡', 'f', '194', '3750'), 
('1951244705', '我是樱桃元', 'f', '482', '3779'), 
('1290451052', '永不凋落的红叶', 'f', '450', '3743'), 
('2418380394', '喜禾喜麦', 'f', '1318', '3737'), 
('1860563314', '虞婷雯', 'f', '774', '3731'), 
('2614225357', '猫猫家中古丝巾', 'm', '846', '3732'), 
('1733650792', '杜杜杜杜杜小微_', 'f', '1260', '3708'), 
('1883536954', 'Sisi_shop', 'f', '398', '3699'), 
('1795392137', '小丑团购', 'f', '205', '3797'), 
('1874030963', '无敌小埃及', 'f', '684', '3760'), 
