('1874022853', '你是我的小ping果', 'f', '668', '812'), 
('5334201786', 'aaaaaa-x', 'f', '227', '39'), 
('1878153363', '郑郑晨', 'f', '331', '343'), 
('5093433944', '涼o0小铃铛', 'f', '185', '103'), 
('2267337111', '侃侃et果果', 'f', '486', '143'), 
('2629453261', '小寒se', 'f', '74', '36'), 
('2672271770', '菟丝花l', 'f', '34', '15'), 
('2456064323', '一头短发_', 'f', '244', '437'), 
('5304236485', '败家狂嬷', 'f', '197', '28'), 
('1980517662', '于小鱼和她家猴子', 'f', '106', '143'), 
('1874493935', '杨暧昧的小宇宙', 'f', '991', '671'), 
('1670487155', '霁琪馨', 'f', '517', '385'), 
('3051550345', 'Z李琳-vanish', 'f', '312', '63'), 
('5229650424', 'H_S家衣鞋原单', 'f', '251', '46'), 
('2217848561', 'Oo甜大王oO', 'f', '92', '37'), 
('2218511460', '尐鉏IU', 'f', '567', '144'), 
('2026237061', '吴亦凡我们一起回火星', 'f', '190', '315'), 
('3227426947', '甜橙子89', 'f', '131', '1221'), 
('1827416702', 'Cocomonster', 'f', '474', '496'), 
('2158119165', 'minishop韩代小铺', 'f', '1999', '512'), 
('2812340450', '蓝莓味史迪仔', 'f', '50', '6'), 
('2619447465', '落日余晖W', 'f', '46', '21'), 
('2583937603', '名字不能重复麻', 'f', '300', '11'), 
('3693894860', '小N家包包高级定制', 'f', '302', '1791'), 
('2841692731', 'o0better0o', 'f', '487', '281'), 
('2068377755', 'jellymelody', 'f', '344', '230'), 
('3896263503', '我希望冬天阳光明媚', 'f', '409', '65'), 
('1812251860', '宝贝果果0801', 'f', '333', '146'), 
('1846134201', '木子-1985', 'f', '274', '48'), 
('5269332488', '努力顺产的美美妈', 'f', '52', '35'), 
('3740738071', '炸年糕呀', 'f', '173', '25'), 
('2812245715', '糖葫芦咕噜咕噜', 'f', '84', '88'), 
('2392482525', '我是蚊子小姐', 'f', '1022', '2184'), 
('2276591912', '可爱多多2006', 'f', '447', '208'), 
('3426409572', 'Dear_C_16654', 'f', '1484', '124'), 
('3250484065', '单美里', 'f', '104', '24'), 
('2078087343', 'milk酱很腻害', 'f', '181', '100'), 
('1240429383', 'baby_jiny', 'f', '791', '1378'), 
('1674282251', '背地挖宝', 'f', '279', '119'), 
('2279894160', '太年轻是一场美梦', 'f', '371', '333'), 
('1752602732', '大璐子的连带关系', 'f', '797', '3147'), 
('2403835571', '我是樱桃味儿哒', 'f', '886', '1536'), 
('3799012262', '小西米cimi', 'f', '195', '109'), 
('2822325145', '药药DCD', 'f', '324', '136'), 
('1978882845', '马云霞y', 'f', '264', '113'), 
('2001893941', '小小屁侠君', 'f', '554', '310'), 
('1738805977', 'Iam小君', 'f', '373', '320'), 
('2707471413', 'lisawu千金', 'f', '113', '56'), 
('5328031358', '没有名字的小名', 'm', '352', '20'), 
('1871386163', '令子小姐', 'f', '421', '397'), 
('1731804962', '陈若雪2009', 'f', '83', '47'), 
('1672877643', '陈小鸡哔哔哔', 'm', '125', '93'), 
('1881683544', '译泪', 'f', '295', '86'), 
('2128578700', 'WINNAR项目组JACKY', 'm', '2299', '1056'), 
('3899507291', '拿刀砍电线君', 'f', '171', '41'), 
('1878399304', '牛牛牛小靜', 'f', '88', '176'), 
('1875750997', 'Cofee_Tea', 'f', '110', '187'), 
('1824185087', '叽叽喳喳hoho', 'f', '226', '17'), 
('2994283654', 'melody0on', 'f', '90', '23'), 
('1770308534', 'Trista丶曌曌', 'f', '191', '218'), 
('1253577014', '張琪煜獨V無二', 'f', '145', '125'), 
('1280139730', '米粒1280139730', 'm', '114', '8'), 
('1553623544', 'Isanne_蕾', 'f', '1377', '366'), 
('1267842847', '木子佳话', 'f', '358', '223'), 
('2005139091', '小其是小气', 'f', '316', '320'), 
('2256290553', '小涵子是汉子', 'f', '814', '234'), 
('1879501387', '的婴丁的安丹勒物璐', 'f', '225', '234'), 
('2249613994', 'xiaohua_love', 'f', '155', '115'), 
('1772126881', '陈_小rui', 'f', '825', '496'), 
('3815344562', 'MM爱健身', 'f', '144', '39'), 
('5111634618', '包包大人爱小七', 'f', '305', '43'), 
('1988343677', '阿蕾蕾蕾_gemini', 'f', '193', '189'), 
('1780080551', 'veronica如颖随行', 'f', '525', '456'), 
('1737092912', '内啥啥Neysa', 'f', '290', '27'), 
('2133453007', '剁手璐璐', 'f', '922', '91'), 
('1504925007', '摩卡巧克力小松糕', 'f', '311', '112'), 
('1966019383', '龔小鱈', 'f', '185', '1167'), 
('2251949887', '_李东方L', 'f', '206', '187'), 
('5286900704', 'Jeqee-Teresa慕梅', 'f', '850', '29'), 
('1923960484', '01就是林小萌啊魂淡还不跪下', 'f', '514', '798'), 
('1237289337', '大小孩_娃娃', 'f', '261', '296'), 
('3922789679', '-我不是你的飞行员', 'f', '38', '31'), 
('2618310403', '星美美美', 'f', '272', '69'), 
('3659737091', '最烦阿爸每天催我起床', 'f', '282', '37'), 
('2349573265', '加油加油加油破釜沉舟啊', 'f', '619', '162'), 
('5084401384', '吕淼4', 'f', '161', '17'), 
('2713636753', '想好的名字总被用', 'f', '105', '45'), 
('3211750707', '大菲小翔', 'f', '89', '584'), 
('1215828144', '阿尔卑斯山下的小雪人', 'f', '895', '286'), 
('2100137981', 'xiaoye_mm', 'f', '239', '169'), 
('2897565231', '蒋布丁的麻麻', 'f', '619', '534'), 
('3271838693', 'yoyo_兔子', 'f', '1995', '686'), 
('5132742112', 'Suuuullivan', 'f', '30', '9'), 
('5081426399', '海伦Beauty', 'f', '81', '28'), 
('1350770907', '夏啦A梦', 'f', '282', '410'), 
('1581756621', '换个不占用的名字真难', 'f', '744', '495'), 
('2627681832', 'MONSTERL1', 'f', '432', '44'), 
('1598595742', '粉嘟嘟的熊', 'f', '394', '513'), 
('3221172992', '荼_一颗心', 'f', '355', '55'), 
('1572927600', '大山滴纸孙唷', 'f', '355', '551'), 
('2921221423', '彦页随风', 'f', '78', '14'), 
('1702886173', '不会弹钢琴的兔纸', 'f', '330', '213'), 
('1871790843', 'TeluBesc_Tse', 'm', '238', '178'), 
('1343010732', 'justyi_', 'f', '266', '2249'), 
('1837229210', '自然卷Joanna', 'f', '958', '756'), 
('5329434190', '懵懵懵允', 'f', '157', '15'), 
('1758220357', '空夏away', 'f', '183', '94'), 
('3259622304', '小洋芋芋芋', 'f', '305', '56'), 
('5103349129', 'Mlhappyh', 'f', '185', '7'), 
('1789805481', '真的累了9999', 'f', '1180', '133'), 
('5269020641', '佳佳妈902', 'f', '269', '15'), 
('1842543530', 'Joan蓉要做照亮的光', 'f', '313', '221'), 
('1734588004', 'Miumiu31', 'f', '275', '181'), 
('1581078854', '小圉李李', 'f', '412', '244'), 
('2307077357', '苏苏ai国安', 'f', '127', '21'), 
('3261530681', '小米闲置帮转啦', 'f', '806', '1233'), 
('2861100270', 'mesea-', 'f', '166', '31'), 
('2464267495', '小喵12', 'f', '282', '37'), 
('1731379035', 'PiNk小丸子o', 'f', '441', '505'), 
('1723990567', '怡然李点心', 'f', '165', '193'), 
('2693684340', 'SuperTeacherXu', 'f', '292', '86'), 
('2683108094', '鱼饼UOT', 'f', '195', '238'), 
('2048446260', '请叫我学霸_谢谢', 'f', '155', '104'), 
('2709975625', '胖胖是喵喵', 'm', '221', '76'), 
('3400170102', 'yoanne_cy', 'f', '212', '53'), 
('3543558814', '信任疑心理智感性太难平衡', 'f', '52', '19'), 
('1814303927', '万事如意ccs', 'f', '365', '87'), 
('2667509313', '春意盎然的花花', 'f', '606', '143'), 
('2952371092', '心灵私宠', 'm', '1829', '1834'), 
('1768834693', 'Yoki熙酱', 'f', '321', '709'), 
('1839451684', 'LeeC-x', 'f', '287', '54'), 
('1469647754', 'Miss-怡Olivia', 'f', '470', '108'), 
('1699737432', 'Lynn_unfinished', 'f', '210', '295'), 
('2501847811', '-JIABBIN', 'f', '350', '309'), 
